Bunyi| Jawi| Keterangan;
Tenguh| تڠوه | Bunyi seperti lembu;
Tup/le-| توڤ | Bunyi buku terjatuh atas buku lain;
Tepak| تڤق | Menepis;
Tepek| تڤيق | Menepuk dengan kura tangan;
Tepuk| تڤوق | Mengenakan tapak tangan kepada suatu permukaan;
Tak/ke-/gele-| تق | Bunyi kayu diketuk atau patah;
Tik/ti-| تيق | Bunyi jam berdetik atau air menitik;
Tuk| توق | Bunyi seperti tak tapi kurang kuat;
Toktok| توکتوق | Kayu atau buluh yang digunakan untuk menyampaikan isyarat kepada orang ramai;
Tokek| توکيق | Sejenis cicak;
Tam/den-| تم | A droning sound?;
Tum| توم | Bunyi seperti letupan meriam, Boom!;
Tembereng| تمبريڠ | Sejenis alat muzik macam gong kecil;
Totok| توتوق | A bamboo-sounding block;
Jelebu| جلبو | Bunyi benda berat jatuh masuk laut;
Jelepak| جلڤق | Bunyi benda berbentuk papan jatuh ke lantai menghadap permukaannya;
Jelepuk| جلڤوق | Bunyi benda berat jatuh pada permukaan lembut;
Jelepok| جليڤوق | Bunyi benda kecil yang lembut jatuh pada permukaan lembut;
Cebur| چبور | Bunyi benda berat jatuh masuk air;
Cebak-cebuk| چبق چبوق | Bunyi seseorang mengharungi kawasan berlumpur;
Cit/de-| چيت | Bunyi burung atau tikus, Tweet / Squeak;
Cetas| چتس | Bunyi menggesek mancis; 
Cetus| چتوس | Bunyi cetas tapi lebih kelam;
Cir| چير | Bunyi air sejuk bertemu permukaan panas;
Cor| چور | Bunyi menuang air atau beras;
Cerit| چريت | Bunyi mengeluarkan tahi;
Cerecap-cerecup| چرچڤ چرچوڤ | Bunyi kunyah;
Cerong-cerang| چروڠ چرڠ | Bunyi barang-barang kemas berlanggar sesama sendiri bila pemakainya bergerak;
Cerup| چروڤ | Bunyi rantai bergerak merentasi suatu permukaan / Bunyi haiwan minum air menggunakan lidah;
Cerau| چراو | Bunyi seperti hujan lebat atau air jatuh ke dalam air / Bunyi beras dituang atas tikar;
Cas-cas| چس٢ | Bunyi seseorang ke hulu-hilir dalam keadaan cemas;
Cing / Ceng / de- / Cing2 | چيڠ | Bunyi nyaring bergema seperti banyak syiling jatuh;
Cekup-cekap| چکڤ٢ | Bunyi ikan memercik-mercik air;
Cap-cap / Ceracap| چڤ٢ | Sejenis kastanet tempatan;
Cap-cup| چڤ چوڤ | Bunyi orang memakan makanan lembut / Bunyi ikan memercik-mercik air di permukaan;
Ceperup| چڤروڤ | Bunyi seseorang mengharungi lumpur atau pasir basah yang dalam.
Cepuk| چڤوق | Bunyi air dihentam permukaan leper;
Cepeluk| چڤلوق | Bunyi seseorang tenggelam ke dalam lumpur dalam;
Cak| چق | Bunyi dua bibir bertemu dan dilepaskan;
Cak-cok / cap-cop| چق چوق | Bunyi orang makan;
Cok-cit| چوقچيت | Bunyi burung berkicau, Tweet;
Celebor| چلبور | Bunyi benda besar jatuh ke dalam air;
Celebok| چلبوق | Bunyi benda kecil tapi berat jatuh ke dalam air;
Celas-celus| چلس چلوس | Bunyi seseorang asyik keluar masuk;
Celong-celang| چلوڠ چلڠ | Bunyi loceng berbunyi dalam setiap selang yang pendek;
Celap-celup| چلڤ چلوڤ | Bunyi orang berjalan di air atau lumpur cetek;
Celepek| چلڤيق | Bunyi cecair likat mengenai permukaan keras (macam lumpur mengenai dinding);
Celepuk| چلڤوق | Bunyi celepek tapi lagi kuat;
Celam-celum| چلم چلوم | Bunyi seseorang memijak-mijak air atau orang naik turun tangga;
Celempung| چلمڤوڠ | Bunyi tom-tomming;
Celempung / Cemplung | چلمڤوڠ | Bunyi benda berat jatuh dalam air;
Cempung| چمڤوڠ | Bunyi benda bulat besar dan berat jatuh dalam air;
Cempelung| چمڤلوڠ | Bunyi benda berat jatuh dalam air;
Cucur/cur| چوچور | Air yang mengalir (in a small stream);
Coce| چوچي | Bunyi orang Cina bercakap-cakap, Ching-chong;
Cicit| چيچيت | Bunyi nyaring yang pendek seperti tikus dan burung, squeak;
Cece| چيچي | Chinese cymbals;
Ciyar| چيار | Rengekan bayi atau memekik;
Ciap| چياڤ | Bunyi burung, Twitter;
Ciak-miak| چياق مياق | Bunyi burung menciap / Bunyi anak-anak menangis berterusan;
Daham/dahem/dehem| داهم | Batuk kecil seperti sedang cuba berfikir atau menarik perhatian;
Debor/lebur/cebur| دبور | Bunyi benda berat masuk dalam air dalam;
Debas| دبس | Bunyi hembusan udara pendek seperti nafas atau yang dilakukan belos (sejenis peniup angin yang menggunakan kedua-dua tangan);
Debus| دبوس | Bunyi burung terbang memotong angin / Bunyi angin kuat melalui barisan pokok;
Debung| دبوڠ | Bunyi dram besar;
Debap| دبڤ | Bunyi benda bersaiz sederhana jatuh atas lantai;
Debup| دبوڤ | Bunyi debap tapi lebih kelam;
Debak| دبق | Bunyi menepuk sesuatu;
Debik| دبيق | Bunyi benda nipis dan leper jatuh atas permukaan lembut;
Debuk| دبوق | Sama seperti debap;
Debum| دبوم | Bunyi benda berat jatuh berbunyi "bum";
Detas| دتس | Bunyi seperti daun kering bergoyang atau benang putus atau telus menetas;
Detik| دتيق | Bunyi kayu merekah;
Decit| دچيت | Bunyi burung atau tikus;
Decur| دچور | Bunyi air mengalir keluar dari paip dengan kuat;
Decing| دچيڠ | Bunyi syiling;
Dedas/detas/tetas| ددس | A rattling or cracking sound , Rattling or cracking;
Derut| دروت | Bunyi heretan melalui batu / The cracking and falling in of a water bank;
Deras| درس | Bunyi seperti pasir menuruni cerun / Bunyi air deras;
Derang| درڠ | Bunyi besi bertemu batu, ding;
Dering| دريڠ | Bunyi loceng / Bunyi yang nyaring seperti gajah, Ring;
Derung| دروڠ | Bunyi derang yang dalam (Derung-Derang: ding-dong), dong;
Derap| درڤ | Bunyi benda diketuk berkali-kali / Bunyi tembakan senapang kecil, Rap;
Derak| درق | Bunyi retak;
Derik| دريق | Bunyi koyak;
Deruk| دروق | Bunyi derak tapi lebih kelam;
Deram| درم | Bunyi kuat menggegar;
Derum| دروم | Bunyi pokok tumbang;
Derin| درين | Bunyi nyaring gajah (juga: Dering);
Derau| دراو | Bunyi seperti hujan dibawa angin / Bunyi seperti ombak menghampiri;
Deru| درو | Bunyi angin kuat / Bunyi orang ramai / Bunyi banjir;
Derai| دراي | Bunyi seperti hujan terkena tingkap kaca;
Desar| دسر | Bunyi pintu terbuka atau tertutup / Bunyi air atas permukaan panas atau air menuruni atap;
Desir| دسير | Bunyi air tersejat akibat bertemu permukaan panas;
Desur| دسور | Bunyi desar tetapi lebih kelam;
Desing| دسيڠ | Bunyi nyaring seperti panah menghampiri telinga;
Desak| دسق | Bunyi kertas direnyukkan;
Desik| دسيق | Bunyi desak tapi lebih nyaring;
Desuk| دسوق | Bunyi desak tapi lebih dalam dan kelam;
Desau| دساو | Bunyi air merentasi tanaman atau bunyi buluh-buluh jatuh;
Desah| دسه | Bunyi hujan merentasi daun-daun pada pokok;
Dengung| دڠوڠ | Bunyi yang bergema;
Dengik| دڠيق | Bunyi tiupan yang bertemu permukaan lembut;
Denguk| دڠوق | Bunyi dengik tapi lebih kelam;
Dengkung| دڠکوڠ | Bunyi salakan anjing yang jauh;
Dekut| دکوت | Perbuatan memanggil burung (Buluh dekut = Buluh yang digunakan untuk menghasilkan bunyi burung);
Dekus| دکوس | Bunyi hembusan seperti hembusan ikan lelumba;
Dekung| دکوڠ | Bunyi gong;
Dekak| دکق | Bunyi ketawa;
Dekah| دکه | Bunyi ketawa yang kuat;
Degar| دݢر | Bunyi guruh atau meriam yang kuat yang didengari berkali-kali seolah-olah bergema;
Degap| دݢڤ | Bunyi dua buku atau papan mengenai sesama sendiri tapi kelam;
Degup| دݢوڤ | Bunyi degap tapi lebih kelam / Bunyi jantung;
Deguk-degak| دݢوقدݢق | Bunyi seseorang meneguk air;
Degam| دݢم | Bunyi hentaman kuat;
Degum| دݢوم | Bunyi degam tapi lebih kelam;
Dam| دم | Bunyi dram dipukul;
Dum-dam| دوم دم | Bunyi dram dipukul secara berterusan;
Dentam| دنتم | Bunyi seperti pintu ditutup secara kuat;
Dentum| دنتوم | Bunyi bum yang dalam seperti meriam;
Dencing| دنچيڠ | Bunyi syiling kecil;
Dondang| دوندڠ | A lullaby;
Rasau| راساو | To make a swishing noise, Swish;
Raung| راءوڠ | Suara nyaring yang panjang bunyinya;
Raum| راءوم | Bunyi dengungan yang mendalam selalunya untuk menyedapkan hati*, Croon / Hum;
Rebus-Rebas/ke-| ربوس ربس | Bunyi udara bergerak dengan laju;
Redam| ردم | Bunyi seperti dram atau petik gitar, Strum/Drum;
Redum/ge-/geredam/legum/legam/redam| ردوم | Bunyi benda besar dan berat masuk dalam air;
Ras| رس | Bunyi macam berjalan atas daun kering, Rustle;
Ris| ريس | Bunyi ras tapi lebih nyaring;
Rus| روس | Bunyi ras tapi lebih kelam;
Rang/de-/le-/ce-/derong/lerong/cerong| رڠ | Bunyi besi yang nyaring, Clank;
Rong-rang| روڠ رڠ | Bunyi rang yang bersambung-sambung;
Reng| ريڠ | Bunyi rang yang lebih nyaring;
Rong| روڠ | Bunyi rang yang lebih kelam;
Rengap/ngap| رڠڤ | Bunyi tiup lilin atau mancis, Puff;
Rap| رڤ | Bunyi seperti menghentak kaki;
Rup| روڤ | Bunyi rap tapi lebih kelam;
Repak/repas| رڤق | Bunyi seperti menepuk;
Repuk/repik| رڤق | Bunyi repak tapi berbeza keamatan;
Rak| رق | Bunyi dahan jatuh ke tanah / Bunyi benda patah kerana menampung berat, Crack!
Rek| ريق | Bunyi rak juga/ Bunyi hujan menitik atas atap;
Rek-Rek| ريق٢ | Bunyi hujan menitik berterusan atas atap, drip-drip;
Rok| روق | Bunyi rak juga;
Rok-Rak/Rak-Rok| روق رق | Bunyi sesuatu jatuh masuk hutan/mengharungi hutan dengan pantas*;
Reluh| رلوه | Bunyi mendengus / Bunyi seperti mendengkur tapi perlahan dan pendek, Grunt;
Ram/e-| رم | Bunyi seperti sesuatu bergetar, rumble;
Rum| روم | Bunyi ram tapi lebih dalam;
Rancang| رنچڠ,  |clank or chink;
Rencing| رنچيڠ | Bunyi berdering;
Rau/le-/de-| راو | Bunyi air deras;
Robok| روبوق | Bunyi air yang masuk ke dalam botol kosong yang ditenggelamkan dalam air;
Rodak/ge-| روبوق | Bunyi seperti benda digoncang dari dalam / Bunyi seseorang naik turun tangga kayu/ Bunyi binatang tak reti duduk diam dalam sangkar atau kurungan, rattle or clatter;
Rai/de-/le-| راي | Bunyi biji-biji atau benda-benda kecil jatuh ke tanah, clatter;
Sauk| ساءوق | Bunyi seseorang mengeluh, Sigh;
Sit/le-/de-| سيت | Bunyi seperti pedang diayun dengan pantas (juga: desis), Swish;
Sut/le-/de-| سوت | Bunyi seperti angin kencang;
Sar| سر | Bunyi seperti angin atau air yang pantas, hiss;
Sir| سير | Bunyi seperti sar tapi lebih nyaring, hiss;
Sur| سور | Bunyi seperti sar tapi lebih kelam, hiss;
Serut| سروت | A scraping sound;
Seruk-serak| سروت | Bunyi dahan-dahan pokok patah dalam hutan/ Bunyi patah yang berulang-ulang, Crack;
Serik| سريق | Bunyi patah yang nyaring;
Serak-serik| سرق سريق | Bunyi yang dikeluarkan sendi-sendi tulang;
Seruk| سروق |Bunyi patah yang lebih kelam dari serak;
Sang/e-| سڠ | Meniup melalui hidung (seperti membuang hingus);
Sing| سيڠ | Seperti Sang;
Sepak| سڤق | Menepuk dengan kuat menggunakan tapak tangan;
Sik/Sok| سيق | Rustling sound of various intensity, Rustle;
Sok-sek| سوق سيق | To rustle;
Sau| ساو | Bunyi angin meniup dedaunan;
Sih| سيه | Meniup melalui hidung(seperti membuang hingus, juga: se);
Siut| سيوت | Bunyi spt bunyi wisel yg nyaring / Bunyi spt bunyi orang menyiuk (kerana ke­pedasan dll)/ Bunyi spt bunyi rotan dll di­sebatkan di udara / bunyi spt bunyi api di­siram dgn air;
Siung| سيوڠ | Bunyi nyaring seperti lebah terbang, Whizz;
Sigam| سيݢم | Bunyi seperti benda keras bertemu bunyi lembut, Thump;
Ngaung| ڠاوڠ | Bunyi seperti gema dalam gua;
Ngerung-Ngering| ڠرڠ٢ | Bunyi alat-alat loyang saling berlaga;
Nging| ڠيڠ | Bunyi nyaring yang tidak kuat, Tinkle;
Ngap-Ngap| ڠڤ٢ | Termengah-mengah mengambil nafas;
Ngeh/e-| ڠيه | Mengambil nafas pendek / Meniup hidung (seperti membuang hingus);
Ngekek| ڠيکيق | Ketawa;
Ngiau| ڠياو | Membuat bunyi kucing;
Petas| ڤتس | Letupan mercun / Bunyi tali yang dibunyikan di udara, Whip;
Perecup| ڤرچوڤ | Menepuk tangan dengan cara yang mengajak berlawan;
Peras| ڤرس | Bunyi baju ketika pemakainya bergerak, rustle/swish;
Pesing| ڤسيڠ | Bunyi peluncur meluncur merentasi udara, Whizz;
Pong| ڤوڠ | Bunyi seperti benda keras bertemu benda lembut, Thump;
Pak| ڤق | Bunyi menepuk tangan;
Pik| ڤيق | Bunyi batang kayu bertemu papan kayu;
Puk/te-| ڤوق | Bunyi pak tapi lebih kelam;
Pipit| ڤيڤيت | Bunyi burung berkicau, Twit;
Kakak| کاکق | Bunyi itik ayam atau lain-lain, Cackle;
Gebas-gebus/gerebas-gerebus| ݢبس ݢبوس | Bunyi kain sarung yang dipakai oleh seseorang yang berjalan ke sana ke mari;
Ketong| کتوڠ | Bunyi kayu berongga atau dram apabila diketuk kuat;
Ketak| کتق | Bunyi ketukan pada papan;
Ketik| کتيق | Bunyi ketak tapi jelas;
Ketuk| کتوق | Bunyi ketak tapi lebih kelam;
Ketimpung/ketimbung| کتيمڤوڠ | Bunyi orang saling menepuk-nepuk air, splashing about;

Buka muka 504 = Ketipong;
